Data_Set_Name,Algorithm_Name,Measure,Value
ProPublicaRace,FOEIR-DIC,NDCG@5,1.0
ProPublicaRace,FOEIR-DIC,NDCG@10,1.0
ProPublicaRace,FOEIR-DIC,rKL,0.1775983242115143
ProPublicaRace,FOEIR-DIC,DTR,0.8547870871005352
ProPublicaRace,FOEIR-DIC,DIR,0.9629659430938726
ProPublicaRace,FOEIR-DIC,FairnessAtK,0.275
ProPublicaRace,FAIR,MAP,0.275
ProPublicaRace,FAIR,NDCG@1,1.0
ProPublicaRace,FAIR,NDCG@5,1.0
ProPublicaRace,FAIR,NDCG@10,1.0
ProPublicaRace,FAIR,rKL,0.012442478695801763
ProPublicaRace,FAIR,DTR,0.7110577588512746
ProPublicaRace,FAIR,DIR,0.8644200574764036
ProPublicaRace,FAIR,FairnessAtK,0.325
GermanCreditAge35,Color-Blind,MAP,1.0
GermanCreditAge35,Color-Blind,NDCG@1,1.0
GermanCreditAge35,Color-Blind,NDCG@5,1.0
GermanCreditAge35,Color-Blind,NDCG@10,1.0
GermanCreditAge35,Color-Blind,rKL,0.14757847848709785
GermanCreditAge35,Color-Blind,DTR,1.0197540374493155
GermanCreditAge35,Color-Blind,DIR,0.9381180503123671
GermanCreditAge35,Color-Blind,FairnessAtK,0.475
GermanCreditAge35,FeldmanEtAl,MAP,0.0
GermanCreditAge35,FeldmanEtAl,NDCG@1,0.9258636625654518
GermanCreditAge35,FeldmanEtAl,NDCG@5,0.9852813755214475
GermanCreditAge35,FeldmanEtAl,NDCG@10,0.9887933280160903
GermanCreditAge35,FeldmanEtAl,rKL,0.033898229705004716
GermanCreditAge35,FeldmanEtAl,DTR,0.6984597336733185
GermanCreditAge35,FeldmanEtAl,DIR,0.8317181132971446
GermanCreditAge35,FeldmanEtAl,FairnessAtK,1.0
GermanCreditAge35,FOEIR-DPC,MAP,0.7191076303367495
GermanCreditAge35,FOEIR-DPC,NDCG@1,1.0
GermanCreditAge35,FOEIR-DPC,NDCG@5,1.0
GermanCreditAge35,FOEIR-DPC,NDCG@10,1.0
GermanCreditAge35,FOEIR-DPC,rKL,0.14757847848709785
GermanCreditAge35,FOEIR-DPC,DTR,1.0197540365658417
GermanCreditAge35,FOEIR-DPC,DIR,0.9381180503123597
GermanCreditAge35,FOEIR-DPC,FairnessAtK,0.4
GermanCreditAge35,FOEIR-DTC,MAP,1.0
GermanCreditAge35,FOEIR-DTC,NDCG@1,1.0
GermanCreditAge35,FOEIR-DTC,NDCG@5,1.0
GermanCreditAge35,FOEIR-DTC,NDCG@10,1.0
GermanCreditAge35,FOEIR-DTC,rKL,0.14757847848709785
GermanCreditAge35,FOEIR-DTC,DTR,1.0197540374493155
GermanCreditAge35,FOEIR-DTC,DIR,0.9381180503123671
GermanCreditAge35,FOEIR-DTC,FairnessAtK,0.475
GermanCreditAge35,FOEIR-DIC,MAP,1.0
GermanCreditAge35,FOEIR-DIC,NDCG@1,1.0
GermanCreditAge35,FOEIR-DIC,NDCG@5,1.0
GermanCreditAge35,FOEIR-DIC,NDCG@10,1.0
GermanCreditAge35,FOEIR-DIC,rKL,0.14757847848709785
GermanCreditAge35,FOEIR-DIC,DTR,1.0197540374493155
GermanCreditAge35,FOEIR-DIC,DIR,0.9381180503123671
GermanCreditAge35,FOEIR-DIC,FairnessAtK,0.475
GermanCreditAge35,FAIR,MAP,0.475
GermanCreditAge35,FAIR,NDCG@1,1.0
GermanCreditAge35,FAIR,NDCG@5,1.0
GermanCreditAge35,FAIR,NDCG@10,1.0
GermanCreditAge35,FAIR,rKL,0.011765691575504035
GermanCreditAge35,FAIR,DTR,0.8718459931669241
GermanCreditAge35,FAIR,DIR,0.9349873005970216
GermanCreditAge35,FAIR,FairnessAtK,0.525
GermanCreditAge35,LFRanking,MAP,0.0
GermanCreditAge35,LFRanking,NDCG@1,0.5900188277177679
GermanCreditAge35,LFRanking,NDCG@5,0.5809408988215357
GermanCreditAge35,LFRanking,NDCG@10,0.5976396687252129
GermanCreditAge35,LFRanking,rKL,0.14757847848709785
GermanCreditAge35,LFRanking,DTR,-0.28990040479473683
GermanCreditAge35,LFRanking,DIR,0.9676390444287974
GermanCreditAge35,LFRanking,FairnessAtK,1.0
NWN,Color-Blind,NDCG@1,0.18181818181818182
NWN,Color-Blind,NDCG@5,0.30303030303030304
NWN,Color-Blind,NDCG@10,0.30303030303030304
NWN,Color-Blind,MAP,0.48484848484848486
NWN,Color-Blind,rKL,0.06060606060606061
NWN,Color-Blind,DTR,0.42424242424242425
NWN,Color-Blind,DIR,0.2727272727272727
NWN,Color-Blind,FairnessAtK,0.030303030303030304
NWN,FAIR,NDCG@1,0.18181818181818182
NWN,FAIR,NDCG@5,0.30303030303030304
NWN,FAIR,NDCG@10,0.30303030303030304
NWN,FAIR,MAP,0.30303030303030304
NWN,FAIR,rKL,0.8181818181818182
NWN,FAIR,DTR,0.24242424242424243
NWN,FAIR,DIR,0.24242424242424243
NWN,FAIR,FairnessAtK,0.24242424242424243
NWN,LFRanking,NDCG@1,0.0
NWN,LFRanking,NDCG@5,0.0
NWN,LFRanking,NDCG@10,0.0
NWN,LFRanking,MAP,0.0
NWN,LFRanking,rKL,0.047619047619047616
NWN,LFRanking,DTR,0.0
NWN,LFRanking,DIR,0.8571428571428571
NWN,LFRanking,FairnessAtK,0.23809523809523808
NWN,FeldmanEtAl,NDCG@1,0.09090909090909091
NWN,FeldmanEtAl,NDCG@5,0.09090909090909091
NWN,FeldmanEtAl,NDCG@10,0.09090909090909091
NWN,FeldmanEtAl,MAP,0.06060606060606061
NWN,FeldmanEtAl,rKL,0.45454545454545453
NWN,FeldmanEtAl,DTR,0.12121212121212122
NWN,FeldmanEtAl,DIR,0.30303030303030304
NWN,FeldmanEtAl,FairnessAtK,0.48484848484848486
NWN,FOEIR-DPC,NDCG@1,0.18181818181818182
NWN,FOEIR-DPC,NDCG@5,0.30303030303030304
NWN,FOEIR-DPC,NDCG@10,0.30303030303030304
NWN,FOEIR-DPC,MAP,0.42424242424242425
NWN,FOEIR-DPC,rKL,0.06060606060606061
NWN,FOEIR-DPC,DTR,0.6060606060606061
NWN,FOEIR-DPC,DIR,0.3333333333333333
NWN,FOEIR-DPC,FairnessAtK,0.0
NWN,FOEIR-DTC,NDCG@1,0.18181818181818182
NWN,FOEIR-DTC,NDCG@5,0.30303030303030304
NWN,FOEIR-DTC,NDCG@10,0.30303030303030304
NWN,FOEIR-DTC,MAP,0.48484848484848486
NWN,FOEIR-DTC,rKL,0.06060606060606061
NWN,FOEIR-DTC,DTR,0.42424242424242425
NWN,FOEIR-DTC,DIR,0.2727272727272727
NWN,FOEIR-DTC,FairnessAtK,0.030303030303030304
NWN,FOEIR-DIC,NDCG@1,0.18181818181818182
NWN,FOEIR-DIC,NDCG@5,0.21212121212121213
NWN,FOEIR-DIC,NDCG@10,0.21212121212121213
NWN,FOEIR-DIC,MAP,0.3939393939393939
NWN,FOEIR-DIC,rKL,0.06060606060606061
NWN,FOEIR-DIC,DTR,0.36363636363636365
NWN,FOEIR-DIC,DIR,0.21212121212121213
NWN,FOEIR-DIC,FairnessAtK,0.030303030303030304
